Layer                                                               ms
__myl_MulAddCastMeanSubMulMeanAddSqrtDivMulCastMulAdd_myl0_47    0.0184
node_MatMul_405_myl0_48                                         0.0685
__myl_MulCastErfCastAddMulMul_myl0_49                           0.0460
node_MatMul_414_myl0_50                                         0.0522
__myl_MulAddCastMeanSubMulMeanAddSqrtDivMulCastMulAdd_myl0_51    0.0235
__mye211571+__mye211559+__mye211547_myl0_52                     0.1125
_gemm_mha_v2_myl0_53                                            0.0858
node_MatMul_470_myl0_54                                         0.0451
__myl_MulAddCastMeanSubMulMeanAddSqrtDivMulCastMulAdd_myl0_55    0.0181
node_MatMul_472_myl0_56                                         0.0675
__myl_MulCastErfCastAddMulMul_myl0_57                           0.0451
node_MatMul_481_myl0_58                                         0.0521
__myl_MulAddCastMeanSubMulMeanAddSqrtDivMulCastMulAdd_myl0_59    0.0245
__mye211665+__mye211653+__mye211641_myl0_60                     0.1146
_gemm_mha_v2_myl0_61                                            0.0859
node_MatMul_537_myl0_62                                         0.0450
__myl_MulAddCastMeanSubMulMeanAddSqrtDivMulCastMulAdd_myl0_63    0.0163
node_MatMul_539_myl0_64                                         0.0685
__myl_MulCastErfCastAddMulMul_myl0_65                           0.0460
node_MatMul_548_myl0_66                                         0.0532
__myl_MulAddCastMeanSubMulMeanAddSqrtDivMulCastMulAdd_myl0_67    0.0254
__mye211759+__mye211747+__mye211735_myl0_68                     0.1125
_gemm_mha_v2_myl0_69                                            0.0859
node_MatMul_604_myl0_70                                         0.0450
__myl_MulAddCastMeanSubMulMeanAddSqrtDivMulCastMulAdd_myl0_71    0.0184
node_MatMul_606_myl0_72                                         0.0687
__myl_MulCastErfCastAddMulMul_myl0_73                           0.0468
node_MatMul_615_myl0_74                                         0.0521
__myl_MulAddCastMeanSubMulMeanAddSqrtDivMulCastMulAdd_myl0_75    0.0255
__mye211853+__mye211841+__mye211829_myl0_76                     0.1166
_gemm_mha_v2_myl0_77                                            0.0859
node_MatMul_671_myl0_78                                         0.0450
__myl_MulAddCastMeanSubMulMeanAddSqrtDivMulCastMulAdd_myl0_79    0.0184
node_MatMul_673_myl0_80                                         0.0686
__myl_MulCastErfCastAddMulMul_myl0_81                           0.0470
node_MatMul_682_myl0_82                                         0.0542
__myl_MulAddCastMeanSubMulMeanAddSqrtDivMulCastMulAdd_myl0_83    0.0256
__mye211947+__mye211935+__mye211923_myl0_84                     0.1145
_gemm_mha_v2_myl0_85                                            0.0860
node_MatMul_738_myl0_86                                         0.0449
__myl_MulAddCastMeanSubMulMeanAddSqrtDivMulCastMulAdd_myl0_87    0.0184
node_MatMul_740_myl0_88                                         0.0676
__myl_MulCastErfCastAddMulMul_myl0_89                           0.0450
node_MatMul_749_myl0_90                                         0.0541
__myl_MulAddCastMeanSubMulMeanAddSqrtDivMulCastMulAdd_myl0_91    0.0247
__mye212041+__mye212029+__mye212017_myl0_92                     0.1124
_gemm_mha_v2_myl0_93                                            0.0860
node_MatMul_805_myl0_94                                         0.0450
__myl_MulAddCastMeanSubMulMeanAddSqrtDivMulCastMulAdd_myl0_95    0.0184
node_MatMul_807_myl0_96                                         0.0654
__myl_MulCastErfCastAddMulMul_myl0_97                           0.0460
node_MatMul_816_myl0_98                                         0.0511
__myl_MulAddCastMeanSubMulMean_myl0_99                          0.0275
__myl_AddSqrtDivMulCastMulAddSlicReshCast_myl0_100              0.0058
__mye217914_myl0_101                                            0.0012
----------------------------------------------------------------------
TOTAL                                                           5.6835
